,Country,total_wins,total_games,ratio_won
0,Argentina,39,65.0,0.6
1,Australia,2,16.0,0.125
2,Belgium,21,42.0,0.5
3,Brazil,56,77.0,0.7272727272727273
4,Cameroon,4,23.0,0.17391304347826086
5,Canada,0,3.0,0.0
6,Costa Rica,6,18.0,0.3333333333333333
7,Croatia,13,23.0,0.5652173913043478
8,Denmark,9,20.0,0.45
9,Ecuador,4,10.0,0.4
10,England,22,30.0,0.7333333333333333
11,France,29,50.0,0.58
12,Germany,29,55.0,0.5272727272727272
13,Ghana,4,14.0,0.2857142857142857
14,Iran,2,6.0,0.3333333333333333
15,Japan,5,18.0,0.2777777777777778
16,Mexico,15,17.0,0.8823529411764706
17,Morocco,2,14.0,0.14285714285714285
18,Netherlands,28,31.0,0.9032258064516129
19,Poland,16,18.0,0.8888888888888888
20,Portugal,10,25.0,0.4
21,Saudi Arabia,3,14.0,0.21428571428571427
22,Senegal,3,11.0,0.2727272727272727
23,Serbia,2,12.0,0.16666666666666666
24,Spain,25,30.0,0.8333333333333334
25,Switzerland,7,13.0,0.5384615384615384
26,Tunisia,2,17.0,0.11764705882352941
27,United States,5,18.0,0.2777777777777778
28,Uruguay,13,21.0,0.6190476190476191
